Pipe Size, in|Full or Half-Full Flow Velocity (V), fps|Half-Full Flow Capacity (Q), gpm|Full Flow Capacity (Q), gpm
1 1/2 | 1.85 | 5.85 | 11.7
2 | 1.98 | 9.70 | 19.4
2 1/2 | 2.30 | 17.60 | 35.2
3 | 2.59 | 28.60 | 57.2
4 | 2.91 | 57 | 114
5 | 3.15 | 96.5 | 193
6 | 3.58 | 157.5 | 315
8 | 4.07 | 318.5 | 637
10 | 4.69 | 574 | 1148
12 | 5.31 | 936 | 1872
15 | 6.15 | 1690 | 3380

